TIME,VASSETID,NRUNHOURDAY
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.025,3.801
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.025,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.025,17.896
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.025,17.142
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.025,17.908
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.025,17.515
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.025,1.678
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.026,7.508
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.026,14.091
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.026,18.162
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.026,13.417
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.026,8.918
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.026,3.062
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.026,0.13
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.026,0.0
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.027,11.269
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.027,18.519
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.027,18.669
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.027,16.324
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.027,8.964
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.027,17.979
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.027,6.0
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.027,1.987
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.028,9.078
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.028,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.028,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.028,10.297
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.028,9.663
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.028,10.504
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.028,10.012
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.028,1.54
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.029,9.278
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.029,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.029,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.029,11.481
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.029,11.332
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.029,11.931
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.029,11.05
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.029,1.908
2020-11-26T17:00:00Z,ACO.P1.H1.GAIT0.002,0.0
2020-11-27T17:00:00Z,ACO.P1.H1.GAIT0.002,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAIT0.002,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAIT0.002,0.0
2020-11-30T17:00:00Z,ACO.P1.H1.GAIT0.002,1.67
2020-12-01T17:00:00Z,ACO.P1.H1.GAIT0.002,0.575
2020-12-02T17:00:00Z,ACO.P1.H1.GAIT0.002,1.985
2020-12-03T17:00:00Z,ACO.P1.H1.GAIT0.002,0.29
2020-11-26T17:00:00Z,ACO.P1.H1.GAIT0.003,0.0
2020-11-27T17:00:00Z,ACO.P1.H1.GAIT0.003,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAIT0.003,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAIT0.003,1.304
